,text,subject,type,level,original_filename,language,doc_id
0,"[SUBJECT]informatique [TYPE]control [LEVEL]2 08 03 2016 matiere informatique lycee secondaire sadok feki sakiet eddeyer 2ème t duree 1 heure 3 n 2 sujet note 20 mkaouar laila pratique 2ème semestre nom prénom n sujet pratique algorithme incomplet permettant saisir entier m 5 m 25 remplir tableau m entiers chiffres remplir 2ème tableau am entiers multiples m 3ème tableau ar entiers restants afficher éléments tableau algorithme travail demandé 0 début 1 ecrire donner taille tableau 1 créer dossier portant nom nomprénom 2 traduire compléter algorithme lire m 2 ecrire pascal 3 ajouter s saisie m lire fin 3 j 0 k 0 éléments tableau 4 compléter structures convenables actions 4 5 6 afficher 3 tableaux 5 enregistrer progra nom 1 m faire mod m 0 j j 1 am j k k 1 ar k fin fin dossier créé 1 exp m 8 tableau 12 48 35 64 56 25 32 72 1 2 3 4 5 6 7 8 progra affichera 4 afficher éléments 5 .afficher éléments am 6 .afficher éléments ar 7 fin éléments multiples m 48 64 56 32 72 éléments restants 12 35 25 grille évaluation question création dossier traduction structures affichage enregistrement saisie nbre points 1 7 2 2 2 2 2 2 08 03 2016 matiere informatique lycee secondaire sadok feki sakiet eddeyer 2ème t duree 1 heure 3 n 2 sujet b note 20 mkaouar laila pratique 2ème semestre nom prénom n sujet pratique algorithme incomplet permettant saisir entier x 6 x 20 remplir tableau b x chaines non vides remplir 2ème tableau bl tableau bi chaines chaines longueur paire b 3ème longueur impaire b afficher éléments tableau algorithme travail demandé 1 créer dossier portant nom 0 début transfert 1 ecrire donner taille tableau nomprénom 2 traduire compléter algorithme pascal 3 ajouter s saisie x lire x 2 ecrire b c éléments tableau b 4 compléter structures convenables lire b c fin 3 0 m 0 actions 4 5 6 afficher 3 tableaux 5 enregistrer progra nom c 1 m faire transfert dossier créé 1 exp x 5 tableau b long bc mod 2 0 1 bl b c m m 1 bi m b c fin fin b sadok zied rihem zaineb jihene 1 2 3 4 5 progra affichera éléments bl zied zaineb jihene 4 afficher éléments b 5 .afficher éléments bl 6 .afficher éléments bi 7 fin transfert éléments bi sadok rihem grille évaluation question création dossier traduction structures affichage enregistrement saisie nbre points 1 7 2 2 2 2 2 2 08 03 2016 matiere informatique lycee secondaire sadok feki sakiet eddeyer 2ème t duree 1 heure 3 n 2 sujet c note 20 mkaouar laila pratique 2ème semestre nom prénom n sujet pratique algorithme incomplet saisir entier n n pair positif remplir tableau v n entiers chiffres remplir 2ème tableau vd entiers formés chiffres v 3ème tableau vt entiers chiffres v afficher éléments tableau algorithme travail demandé 1 créer dossier portant nom 0 début eclater 1 ecrire donner taille tableau nomprénom 2 traduire compléter algorithme lire n 2 ecrire v pascal 3 ajouter s saisie n éléments tableau v 4 compléter structures convenables lire v fin 3 j 0 k 0 actions 4 5 6 afficher 3 tableaux 5 enregistrer progra 1 m faire v 10 99 j j 1 vd j v k k 1 vt k v fin fin nom eclater dossier créé 1 exp n 6 tableau v v 69 126 65 312 53 485 1 2 3 4 5 6 progra affichera 4 .afficher éléments v 5 .afficher éléments vd 6 .afficher éléments vt 7 fin eclater éléments vd 69 65 53 éléments vt 126 312 485 grille évaluation question création dossier traduction structures affichage enregistrement saisie nbre points 1 7 2 2 2 2 2 2 08 03 2016 matiere informatique lycee secondaire sadok feki sakiet eddeyer 2ème t duree 1 heure 3 n 2 sujet d note 20 mkaouar laila pratique 2ème semestre nom prénom n sujet pratique algorithme incomplet permettant saisir entier p p impair positif remplir tableau c p lettres alphabétiques minuscules remplir 2ème tableau cv lettres voyelles c 3ème tableau cc lettres consonnes c afficher éléments tableau algorithme travail demandé 1 créer dossier portant nom 0 début fraction 1 ecrire donner taille tableau nomprénom 2 traduire compléter algorithme lire p 2 ecrire c k pascal 3 ajouter s saisie p éléments tableau c 4 compléter structures convenables lire c k fin 3 j 0 h 0 actions 4 5 6 afficher 3 tableaux 5 enregistrer progra nom k 1 p faire c k a,e,y,u,i,o fraction dossier créé 1 exp p 9 tableau c j j 1 cv j c k h h 1 cc h c k fin fin c d h k p u 1 2 3 4 5 6 7 8 9 progra affichera éléments cv 4 afficher éléments c 5 .afficher éléments cv 6 .afficher éléments cc 7 fin fraction u éléments cc d h k p grille évaluation question création dossier traduction structures affichage enregistrement saisie nbre points 1 7 2 2 2 2 2 2 correction sujet b program transfert uses wincrt correction sujet program uses wincrt type tab array1 20 of integer var am ar tab j k m integer begin repeat write(donner taille tableau readln(m until m in 5 25 for i: 1 to m do repeat write(a,i readln(ai until ai in 10 99 j:0 k:0 for i: 1 to m do if ai mod m 0 then begin j:j1 amj: ai end else begin k:k1 ark: ai end writeln(affichage for i: 1 to m do write(ai writeln writeln(affichage am for i: 1 to j do write(ami writeln writeln(affichage ar for i: 1 to k do write(ari writeln readln end type tab array1 20 of string var b bl bi tab x c m integer begin repeat write(donner taille tableau readln(x until x in 3 25 for c: 1 to x do repeat write(b,c readln(bc until bc a:0 m:0 for c: 1 to x do if length(bc mod 2 0 then begin a:a1 bla: bc end else begin m:m1 bim: bc end writeln(affichage b for c: 1 to x do write(bc writeln writeln(affichage bl for c: 1 to do write(blc writeln writeln(affichage bi for c: 1 to m do write(bic writeln readln end correction sujet c program eclater uses wincrt type tab array1 20 of integer var v vd vt tab j k n integer begin repeat write(donner taille tableau readln(n until n mod 2 0 and n 0 for i: 1 to n do repeat write(v,i readln(vi until vi10 and vi 99 vi100 and vi999 j:0 k:0 for i: 1 to n do if vi in 10 99 then begin j:j1 vdj: vi end else begin k:k1 vtk: vi end writeln(affichage v for i: 1 to n do write(vi writeln writeln(affichage vd for i: 1 to j do write(vdi writeln writeln(affichage vt for i: 1 to k do write(vti writeln readln end correction sujet d program fraction uses wincrt type tab array1 20 of char var c cv cc tab p j k h integer begin repeat write(donner taille tableau readln(p until p mod 2 1 and p 0 for k: 1 to p do repeat write(c,k readln(ck until ck in a z j:0 h:0 for k: 1 to p do if ck in a,e,y,u,i,o then begin j:j1 cvj: ck end else begin h:h1 cch: ck end writeln(affichage c for k: 1 to p do write(ck writeln writeln(affichage vd for k: 1 to j do write(cvk writeln writeln(affichage vt for k: 1 to h do write(cck writeln readln end",informatique,control,2,Devoir de Contrôle N°2 Avec correction - Informatique - 2ème semestre -pratique - 2ème TI (2015-2016) Mme Mkaouar Laila.pdf,fr,e549d9ad-e150-4e81-9ffe-ec231e7a0904
1,[SUBJECT]informatique [TYPE]control [LEVEL]2 informatique souli anouar 2ème année technologie 02 durée 1 heure 2009 lycee al ahd al jadid jendouba controle n 3 pratique nom prénom n feuille remise fin épreuve exercice ecrire progra pascal intitulé sopair remplir tableau t n entiers n0 calculer afficher so entiers pairs figurent tableau t. grille évaluation questions nombres points enregistrement 2 exécution correcte 18 6 6 6 vocabulaire syntaxe structures données relatives problème structures données relatives problème http:b-mehdi.jimdo.com,informatique,control,2,Devoir de contrôle N°3 (Pratique) - Informatique - 2ème Info (2008-2009) 3.pdf,fr,474b0748-76a6-43f0-a72f-4c90f46bbd2b
2,[SUBJECT]informatique [TYPE]control [LEVEL]2 informatique souli anouar 2ème année technologie 02 durée 1 heure 2009 lycee al ahd al jadid jendouba controle n 3 pratique nom prénom n feuille remise fin épreuve exercice ecrire progra pascal intitulé diviseur demande utilisateur nombre entier n affiche ensuite diviseurs exemple saisir entier 15 diviseurs 1 3 5 15 grille évaluation questions nombres points enregistrement 2 18 6 6 6 exécution correcte vocabulaire syntaxe structures données relatives problème structures données relatives problème http:b-mehdi.jimdo.com,informatique,control,2,Devoir de contrôle N°3 (Pratique) - Informatique - 2ème Info (2008-2009) 4.pdf,fr,755369f9-d5b0-47d0-a82d-0163832bd7bb
3,[SUBJECT]informatique [TYPE]control [LEVEL]2 s examens www.kiteb.net http:b-mehdi.jimdo.com,informatique,control,2,Devoir de contrôle N°3 (Pratique) - Informatique - 2ème Info (2008-2009) 5.pdf,fr,9d27e22f-613e-4993-94b5-21fc50631c33
4,[SUBJECT]informatique [TYPE]control [LEVEL]2 26 01 2016 informatique lycee secondaire sadok feki sakiet eddeyer 2ème t duree 1 heure 3 n 1 sujet note 20 mkaouar laila théorique 2ème semestre nom prénom n exercice n 1 5 points séquence instructions dépendantes ordonnées 1 t1 chr ord e 2 t2 structure 3 t3 conditionn 4 t3 concat t3 5 t4 sous_chaîne simplifiée 1 5 6 insère chr(101 t4 long(t4 1 7 long(t2 mod 2 1 v1 long(t2 div 2 v2 1 fin 8) v3 pos jour journaux 9 v4 long(t1 déclarer analyse pascal tableaux t v type respectifs tab1 tab2 analyse 1.5p t.d.n.t t.d.o type ob u nature type turbo pascal 1.5p b donner contenu final tableaux t v. 2 pts v t n 1 théorique)(2ème ti janvier 2016 exercice n 2 2.5 points encercler corriger erreurs instructions instruction 1 instruction 1 corrigée instruction 2 instruction 2 corrigée if b x x1 else x x-1 end if if b then x x1 b end else x x-1 end exercice n 3 5 points algorithme q1 traduire pascal algorithme 3.5pts 0 début inconnu 1 écrire donner 4 entiers lire b c d 2 x 1 3 écrire 4 ab x x1 écrire b fin 5 ac bc x x1 ecrire c fin 6 ad bd c d x x1 écrire d fin 7 écrire x 8) fin inconnu inst n exécuter algorithme cas 1 pt q2 1er 2 cas a12 b13 c 25 d 7 ème cas a1 b 1 c 5 d 1 x ecran x ecran 1 donner 4 entiers 12 13 25 7 donner 4 entiers 1 1 5 1 2 3 4 5 6 7 donner rôle algorithme 0.5pt q3 n 1 théorique)(2ème ti janvier 2016 exercice n 4 7.5 points ecrire analyse tdo algorithme correspondant progra intitulé surface calculer afficher surface demande formes considérer élémentaires disque carré triangle rectangle progra saisir lettre indique type forme adéquate afficher surface correspondante d d disque c c carré t t triangle r r rectangle surface s0 sachant disque demandera rayon r surface s pir² carré demandera coté c surface s c² triangle demandera hauteur h base b surface s(bh)2 rectangle demandera largeur lg1 longueur lg2 surface s lg1lg2 4 points analyse n 1 théorique)(2ème ti janvier 2016 déduire tableau déclaration objets t.d.o correspondant analyse t.d.o 2 points nature type objet 1.5 points algorithme n 1 théorique)(2ème ti janvier 2016,informatique,control,2,Devoir de Contrôle N°3 - Informatique - 2ème TI (2015-2016) Mme Laila Mkaouar 1.pdf,fr,25886cac-13fe-4090-983a-78e570bcced1
5,[SUBJECT]informatique [TYPE]control [LEVEL]2 26 01 2016 informatique lycee secondaire sadok feki sakiet eddeyer 2ème t duree 1 heure 3 n 1 sujet b note 20 mkaouar laila théorique 2ème semestre nom prénom n exercice n 1 5 points séquence instructions dépendantes ordonnées 1 t1 chr ord e 2 t2 structure 3 t3 conditionn 4 t3 concat t3 5 t4 sous_chaîne généralisation 1 9 6 insère ée t4 long(t4 1 7 long(t3 mod 2 1 v1 long(t3 div 2 v2 15 fin 8) v3 pos sciences 9 v4 long(t4 déclarer analyse pascal tableaux t v type respectifs tab1 tab2 analyse 1.5p t.d.n.t t.d.o type ob u nature type turbo pascal 1.5p b donner contenu final tableaux t v. 2 pts v t n 1 théorique)(2ème ti janvier 2016 exercice n 2 5 points algorithme q1 traduire pascal algorithme 3.5pts 0 début inconnu 1 écrire donner 4 entiers lire b c d 2 nb 1 3 écrire 4 ab nb nb1 écrire b fin 5 ac bc nb nb1 ecrire c fin 6 ad bd c d nb nb1 écrire d fin 7 écrire nb 8) fin inconnu inst n exécuter algorithme cas 1 pt q2 1er 2 cas a 1 b 1 c 2 d 7 ème cas a 12 b 15 c 15 d 15 nb ecran x ecran 1 donner 4 entiers 1 1 2 7 donner 4 entiers 12 15 15 15 2 3 4 5 6 7 q3 donner rôle algorithme 0.5pt exercice n 3 2.5 points encercler corriger erreurs instructions instruction 1 instruction 1 corrigée instruction 2 instruction 2 corrigée if x a1 else a-1 end if x then a1 b end else a-1 b x end n 1 théorique)(2ème ti janvier 2016 exercice n 4 7.5 points ecrire analyse tdo algorithme correspondant progra intitulé surface calculer afficher surface demande formes considérer élémentaires disque carré triangle rectangle progra saisir lettre indique type forme adéquate afficher surface correspondante d d disque c c carré t t triangle r r rectangle surface s0 sachant disque demandera rayon r surface s pir² carré demandera coté c surface s c² triangle demandera hauteur h base b surface s(bh)2 rectangle demandera largeur lg1 longueur lg2 surface s lg1lg2 4 points analyse n 1 théorique)(2ème ti janvier 2016 déduire tableau déclaration objets t.d.o correspondant analyse t.d.o 2 points nature type objet 1.5 points algorithme n 1 théorique)(2ème ti janvier 2016,informatique,control,2,Devoir de Contrôle N°3 - Informatique - 2ème TI (2015-2016) Mme Laila Mkaouar.pdf,fr,7741330f-b30b-4330-bef9-9d5b17d887ed
6,"[SUBJECT]informatique [TYPE]control [LEVEL]2 ² lycee farhat hached section 2 è m eti 1 2 epreuve informatique duree 1 heure esseurs hnana inès souissi hanen controle n4 2 2 0 2 2 0 1 2 nom prénom note exercice 8 points 20 algorithme 0 debut inconnu 1 ecrire donner chaine lire ch 2 1 long(ch faire chi 0 9 efface(ch i,1 i1 fin fin 3 ecrire ch 4 fin inconnu questions 1 faire tournage main sachant ch2ti4c8 progra affiche 2 algorithme 3 dresser tableau déclaration objets utilisés algorithme 1 4 donner traduction pascal problème 12 points ecrire analyse déduire algorithme progra intitulé nombre remplir tableau t n caractères sachant 3n30 caractère donné lettre alphabétique chercher afficher nombre lettres majuscules nombre lettres minuscules tableau exemple n5 t h t f g 1 2 3 4 5 progra affiche nombre majuscules 3 nombre minuscules 2 2 3",informatique,control,2,Devoir de Contrôle N°4 - Informatique - 2ème TI (2011-2012)  Mme ines.pdf,fr,604900c3-1a8f-422c-b52b-17a71daa1e58
7,"[SUBJECT]informatique [TYPE]control [LEVEL]2 secondaire abdel aziz khouja- kélibia informatique 2ème année t.i. 3 ontrôle n 5 esseur ridène b. mna ayda vendredi 30 mai 2010 duree 1 h coeficient 3 nom prénom n note exercice n 1 4pts 1 donner exemple logiciel traitement 2 relier flèche volume caractérise différence aigu grave hauteur force onde sonore frappe tampons oreille timbre faite transformer mesures forme onde valeur numérique échantillonna ge paramètre différencier 3 fichier musique.wav fréquence échantillonnage 44100 hz nombre voies 2 nombre bits échantillon 16 bit durée 5 min calculer taille fichier taille exercice n 2 2pts définir contexte informatique termes vidéo codec exercice n 3 6pts progra pascal program traitement uses wincrt var texte string function so(ch string integer var e n s integer begin s:0 for 1 to length(ch do begin if chi in 0 9 then begin val(chi,n e s:sn end end procedure saisie(var ch string begin repeat readln(ch until ch end p.p. begin saisie(texte write(so(texte end so: s end aime travail bien http:b-mehdi.jimdo.com 1 remplir tableau objets globaux paramètres passées valeur objets locaux paramètres effectifs paramètres formels paramètres passées variables 2 résultat renvoyé progra ci- donne texte 2tinfo32010g1et 2 3 rôle fonction so 4 objets n e s reconnus progra principal justifiez exercice n 4 8 pts écrire analyse algorithme progra intitulé multidiv permettant saisir tableau t n entiers non nuls chiffres n entier donné 5 15 déterminer afficher éléments tableau t chiffre unités multiple diviseur chiffre dizaines exemple progra affichera 48 12 62 n.b décomposition modulaire exigée n 6 t 23 48 12 37 62 47 aime travail bien http:b-mehdi.jimdo.com",informatique,control,2,Devoir de contrôle N°5 - Informatique - 2ème Info (2009-2010) Mme Ayda Ridene Ben Mna.pdf,fr,982d6067-6484-4df8-aa60-8fbf2eee1b0e
8,[SUBJECT]informatique [TYPE]control [LEVEL]2 esseur azri hamza 2ème technologie durée 1 heure 23-avril-2009 ibn khaldoun sidi bouzid n 6 pratique nom prénom .n .note 20 algorithme 1 lire n 2 1 n faire ecrire donner entier lire ti finpour 3 s 0 1 n faire s s ti finpour 4 ecrire so s 5 répéter ecrire(ti jusqu questions 1 traduire algorithme progra pascal machine 5 pts 2 enregistre travail fur mesure répertoire d: examen nom votre_nom.pas 2pts 3 modifier séquence n 1 algorithme r saisie n 2 n 20 3 pts 4 modifier séquence n 2 remplir tableau t uniquement entiers supérieur zéro 2 pts 5 séquence n 3 calculer so entiers tableau t variable s. modifier séquence faire so entiers pair t. 3 pts 6 compléter séquence n 5 affiche entiers t précèdent entier 10 t entier 10 entier 10 existe t affichera entiers tableau t. 5pts http:b-mehdi.jimdo.com,informatique,control,2,Devoir de contrôle N°6 (Pratique) - Informatique - 2ème Info (2008-2009).pdf,fr,8733ed6a-e213-4e32-b890-d179b7dce9bf
9,[SUBJECT]informatique [TYPE]control [LEVEL]2 enseignante fatma 2ème technologie structures itératives exercice n 1 algorithme 0 début traitement 1 ecrire donner chaine lire ch 2 ecrire donner position lire p 3 ecrire donner nombre caractères lire nb 4 ch1 p pnb faire ch1 ch1chi i1 fin 5 ecrire chaine résultante ch1 6 fin traitement questions a. donner résultat exécution algorithme chinformatique p3 nb6 ch cartable p3 nb5 b. déduire rôle algorithme c. donner fonction prédéfinie donnant résultat d. modifier boucle instruction n 3 boucle boucle répéter jusqu exercice n 2 ecrire progra calculer afficher nombre voyelles consonnes chaine contenant uniquement caractères alphabétiques espaces ch structure iterative complete exemple progra affiche nombre voyelles 13 nombre consonnes 17 exercice n 3 ecrire progra calculer afficher indice élément négatif tableau n entiers chiffres n 5 20 n6 exemple t 22 -12 53 40 -34 77 progra affiche position nombre négatif 2 1 enseignante fatma 2ème technologie exercice n 4 écrire progra remplir tableau t n entiers aléatoires 3 n15 élément t 1 20 progra afficher éléments t consécutifs non n5 exemple 1 14 15 16 17 18 t éléments consécutifs n5 exemple 2 t 14 15 18 5 3 éléments consécutifs exercice n 5 ecrire progra saisir tableau t1 n entiers positifs chiffres n 5 20 remplir tableau t2 t2i occupé chiffre pair t1i occupé 0.enfin afficher tableau t2 n5 exemple t1 41 22 58 55 72 progra affiche tableau t2 4 2 8 0 2 2,informatique,control,2,Série d'exercices N°1 - Informatique - Les Structures de Contrôle Itératives - 2ème Informatique (2018-2019)  Elève Fatma.pdf,fr,4b49e1c5-5cec-49d3-9a6e-fcad4a10257e
